s=1465130 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-70 btn=UP
[alive] ms=1745389 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-68 btn=UP
[alive] ms=1750396 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-71 btn=UP
[alive] ms=1755396 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-72 btn=UP
[alive] ms=1760399 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-72 btn=UP
[alive] ms=1765405 heap=101396 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-71 btn=UP
[alive] ms=1770408 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-66 btn=UP
[alive] ms=1775409 heap=101396 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-74 btn=UP
[alive] ms=1780418 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-67 btn=UP
[alive] ms=1785427 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-69 btn=UP
[alive] ms=1790429 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-68 btn=UP
[heartbeat] status=200 (fw=1.3.3 bedtime=0 paused=0)
[alive] ms=1795436 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-68 btn=UP
[alive] ms=1800439 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-69 btn=UP
[alive] ms=1805447 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-67 btn=UP
[alive] ms=1810450 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-70 btn=UP
[alive] ms=1815460 heap=101396 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-67 btn=UP
[alive] ms=1820464 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-68 btn=UP
[alive] ms=1825470 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-68 btn=UP
[alive] ms=1830475 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-67 btn=UP
[alive] ms=1835476 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-69 btn=UP
[alive] ms=1840481 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-68 btn=UP
[alive] ms=1845486 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-70 btn=UP
[heartbeat] status=200 (fw=1.3.3 bedtime=0 paused=0)
[alive] ms=1853219 heap=101400 psram=7860788 wifi=3 ip=192.168.1.10 rssi=-68 btn=UP
[alive] ms=1858220 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-68 btn=UP
[alive] ms=1863223 heap=101396 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-68 btn=UP
[alive] ms=1868225 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-69 btn=UP
[alive] ms=1873225 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-68 btn=UP
[alive] ms=1878230 heap=101448 psram=7861184 wifi=3 ip=192.168.1.10 rssi=-68 btn=UP
[alive] ms=1883231 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-69 btn=UP
[alive] ms=1888231 heap=101448 psram=7861216 wifi=3 ip=192.168.1.10 rssi=-68 btn=UP
